"Freq [GHz]","Phi [deg]","Theta [deg]","normalize(GainTotal) []"
6,0,-90,0.0148211207021222
6,0,-89,0.0153059179283054
6,0,-88,0.0157892804479139
6,0,-87,0.0162689158798638
6,0,-86,0.016742444014277
6,0,-85,0.0172074322004863
6,0,-84,0.0176614413793959
6,0,-83,0.0181020843722368
6,0,-82,0.0185270980568121
6,0,-81,0.0189344310373088
6,0,-80,0.0193223483357939
6,0,-79,0.0196895544934158
6,0,-78,0.020035336257842
6,0,-77,0.0203597257416888
6,0,-76,0.0206636845565482
6,0,-75,0.0209493089519993
6,0,-74,0.0212200554139735
6,0,-73,0.0214809854999567
6,0,-72,0.0217390279110408
6,0,-71,0.0220032549280971
6,0,-70,0.0222851693814118
6,0,-69,0.0225989972953756
6,0,-68,0.0229619802735322
6,0,-67,0.0233946605919178
6,0,-66,0.0239211508840239
6,0,-65,0.0245693792690438
6,0,-64,0.0253712998423897
6,0,-63,0.0263630576650837
6,0,-62,0.0275850968119208
6,0,-61,0.0290821997252548
6,0,-60,0.0309034461304715
6,0,-59,0.0331020801575239
6,0,-58,0.0357352751325043
6,0,-57,0.0388637867984942
6,0,-56,0.0425514875288332
6,0,-55,0.046864776426304
6,0,-54,0.051871863057485
6,0,-53,0.0576419259290182
6,0,-52,0.0642441506224327
6,0,-51,0.0717466566888399
6,0,-50,0.0802153268569584
6,0,-49,0.0897125566904923
6,0,-48,0.10029594737856
6,0,-47,0.112016968665852
6,0,-46,0.124919622818694
6,0,-45,0.139039143759588
6,0,-44,0.154400767865601
6,0,-43,0.171018614205772
6,0,-42,0.188894712004556
6,0,-41,0.208018211715348
6,0,-40,0.228364813175577
6,0,-39,0.249896439861671
6,0,-38,0.2725611823117
6,0,-37,0.296293526458598
6,0,-36,0.321014874122745
6,0,-35,0.346634353532699
6,0,-34,0.373049907830119
6,0,-33,0.400149639477843
6,0,-32,0.427813378773796
6,0,-31,0.455914435737245
6,0,-30,0.48432148692689
6,0,-29,0.512900542686376
6,0,-28,0.541516936246734
6,0,-27,0.570037274322257
6,0,-26,0.598331289494645
6,0,-25,0.626273537859225
6,0,-24,0.653744891060258
6,0,-23,0.680633779804805
6,0,-22,0.706837155935867
6,0,-21,0.732261151775514
6,0,-20,0.75682142822872
6,0,-19,0.780443216495274
6,0,-18,0.803061071531831
6,0,-17,0.82461836795905
6,0,-16,0.845066580230046
6,0,-15,0.864364397902754
6,0,-14,0.882476733197712
6,0,-13,0.899373681199715
6,0,-12,0.915029492768656
6,0,-11,0.929421616365554
6,0,-10,0.942529857722411
6,0,-9,0.954335696001293
6,0,-8,0.964821782467416
6,0,-7,0.973971633637746
6,0,-6,0.98176951642076
6,0,-5,0.988200509075861
6,0,-4,0.993250710012344
6,0,-3,0.996907557504949
6,0,-2,0.999160218075319
6,0,-1,1
6,0,0,0.999420751197934
6,0,1,0.997419207267793
6,0,2,0.99399526496119
6,0,3,0.989152167866481
6,0,4,0.982896603320755
6,0,5,0.97523872128409
6,0,6,0.966192095893965
6,0,7,0.955773657666595
6,0,8,0.944003628130338
6,0,9,0.930905488742178
6,0,10,0.916506012325496
6,0,11,0.900835378422286
6,0,12,0.883927384631633
6,0,13,0.865819755179392
6,0,14,0.846554536705349
6,0,15,0.826178560625232
6,0,16,0.80474394236938
6,0,17,0.782308581060871
6,0,18,0.758936619260536
6,0,19,0.734698821484024
6,0,20,0.709672832227041
6,0,21,0.683943278924172
6,0,22,0.657601692138969
6,0,23,0.630746223745416
6,0,24,0.603481153269604
6,0,25,0.575916182280423
6,0,26,0.548165526171685
6,0,27,0.520346821380026
6,0,28,0.492579873658819
6,0,29,0.464985279219601
6,0,30,0.437682955210053
6,0,31,0.410790619066073
6,0,32,0.38442225777568
6,0,33,0.358686628100201
6,0,34,0.333685827428035
6,0,35,0.309513972326753
6,0,36,0.286256018164304
6,0,37,0.26398674855382
6,0,38,0.242769958011314
6,0,39,0.222657845283072
6,0,40,0.20369062849025
6,0,41,0.185896386751961
6,0,42,0.16929112649134
6,0,43,0.153879064409966
6,0,44,0.139653113337941
6,0,45,0.126595552019234
6,0,46,0.114678855540703
6,0,47,0.103866659691969
6,0,48,0.0941148301452971
6,0,49,0.0853726060170052
6,0,50,0.0775837871140399
6,0,51,0.0706879349329366
6,0,52,0.0646215591720247
6,0,53,0.0593192640136848
6,0,54,0.054714831576413
6,0,55,0.0507422235539115
6,0,56,0.0473364859711331
6,0,57,0.0444345460192636
6,0,58,0.041975893919262
6,0,59,0.0399031465624196
6,0,60,0.0381624931664957
6,0,61,0.0367040262749603
6,0,62,0.0354819640508368
6,0,63,0.034454771939519
6,0,64,0.0335851933862354
6,0,65,0.0328402004053292
6,0,66,0.0321908754403933
6,0,67,0.031612236170788
6,0,68,0.0310830147652906
6,0,69,0.0305854026175317
6,0,70,0.0301047708826943
6,0,71,0.029629376232156
6,0,72,0.0291500602106618
6,0,73,0.0286599494724855
6,0,74,0.028154163035941
6,0,75,0.0276295315695478
6,0,76,0.0270843326409222
6,0,77,0.0265180448465737
6,0,78,0.0259311228159442
6,0,79,0.0253247942586347
6,0,80,0.0247008795066712
6,0,81,0.0240616333959493
6,0,82,0.023409608830809
6,0,83,0.022747540978072
6,0,84,0.022078250734536
6,0,85,0.0214045658959881
6,0,86,0.0207292583164295
6,0,87,0.0200549952731667
6,0,88,0.0193843032365342
6,0,89,0.0187195422725285
6,0,90,0.0180628893734872
